time,Bx,By,Bz,Btotal
2024-04-26 12:44:41.3150,-16.320,20.840,-14.310,30.090
2024-04-26 12:44:41.4140,-16.310,20.930,-14.120,30.060
2024-04-26 12:44:41.5150,-16.260,21.030,-14.060,30.070
2024-04-26 12:44:41.6130,-16.350,20.910,-13.440,29.760
2024-04-26 12:44:41.7130,-16.340,20.860,-13.900,29.920
2024-04-26 12:44:41.8120,-16.230,20.930,-14.090,30.000
2024-04-26 12:44:41.9120,-16.350,20.840,-13.850,29.890
2024-04-26 12:44:42.0120,-16.310,21.020,-14.050,30.090
2024-04-26 12:44:42.1110,-16.290,20.840,-14.090,29.970
2024-04-26 12:44:42.2120,-16.250,20.870,-14.040,29.950
2024-04-26 12:44:42.3100,-16.210,20.660,-13.910,29.720
2024-04-26 12:44:42.4100,-16.160,20.480,-13.770,29.500
2024-04-26 12:44:42.5090,-16.190,20.980,-13.890,29.920
2024-04-26 12:44:42.6090,-16.230,20.780,-13.840,29.780
2024-04-26 12:44:42.7080,-15.910,21.100,-14.350,30.080
2024-04-26 12:44:42.8080,-16.120,20.880,-14.460,30.080
2024-04-26 12:44:42.9070,-16.350,20.960,-14.380,30.220
2024-04-26 12:44:43.0080,-15.740,21.200,-14.150,29.960
2024-04-26 12:44:43.1080,-16.060,21.290,-14.270,30.250
2024-04-26 12:44:43.2070,-16.260,21.180,-14.000,30.150
2024-04-26 12:44:43.3050,-16.300,21.130,-14.040,30.150
2024-04-26 12:44:43.4060,-16.000,20.900,-14.240,29.920
2024-04-26 12:44:43.5060,-16.130,20.990,-14.070,29.980
2024-04-26 12:44:43.6050,-15.820,21.170,-14.120,29.960
2024-04-26 12:44:43.7030,-16.200,21.280,-14.130,30.250
2024-04-26 12:44:43.8030,-16.160,21.290,-14.310,30.320
2024-04-26 12:44:43.9040,-16.090,21.290,-14.730,30.480
2024-04-26 12:44:44.0030,-15.970,21.350,-14.350,30.280
2024-04-26 12:44:44.1030,-15.950,21.280,-14.520,30.290
2024-04-26 12:44:44.2020,-16.280,21.230,-14.420,30.390
2024-04-26 12:44:44.3010,-16.340,21.210,-14.180,30.300
2024-04-26 12:44:44.4020,-16.250,20.820,-14.200,29.990
2024-04-26 12:44:44.5010,-16.310,21.330,-14.190,30.370
2024-04-26 12:44:44.6010,-15.990,21.130,-14.190,30.060
2024-04-26 12:44:44.7000,-16.010,20.890,-13.660,29.650
2024-04-26 12:44:44.8000,-16.160,20.700,-13.890,29.700
2024-04-26 12:44:44.8990,-16.170,20.860,-14.210,29.970
2024-04-26 12:44:44.9990,-16.010,20.520,-13.820,29.470
2024-04-26 12:44:45.0970,-16.160,20.910,-13.930,29.880
2024-04-26 12:44:45.1980,-16.450,20.930,-13.470,29.830
2024-04-26 12:44:45.2960,-16.390,20.720,-13.590,29.710
2024-04-26 12:44:45.3960,-16.380,20.940,-13.540,29.840
2024-04-26 12:44:45.4950,-16.480,21.110,-13.570,30.020
2024-04-26 12:44:45.5960,-16.090,20.710,-13.320,29.420
2024-04-26 12:44:45.6940,-16.390,20.830,-13.160,29.590
2024-04-26 12:44:45.7930,-16.330,20.620,-13.360,29.510
2024-04-26 12:44:45.8940,-16.580,21.120,-13.110,29.880
2024-04-26 12:44:45.9930,-16.080,20.910,-13.400,29.580
2024-04-26 12:44:46.0920,-16.380,21.170,-13.420,29.950
2024-04-26 12:44:46.1910,-16.320,21.000,-13.100,29.650
2024-04-26 12:44:46.2930,-16.260,20.670,-13.510,29.560
